战争之王,2005,8.7,328834
崖上的波妞,2008,8.6,430004
谍影重重2,2004,8.7,321342
燃情岁月,1994,8.8,262987
爱乐之城,2016,8.4,784800
心灵奇旅,2020,8.7,851013
阿飞正传,1990,8.5,457549
海洋,2009,9.1,148568
谍影重重,2002,8.6,386210
再次出发之纽约遇见你,2013,8.6,390376
穿越时空的少女,2006,8.6,351247
火星救援,2015,8.5,644463
香水,2006,8.5,503773
朗读者,2008,8.6,424228
地球上的星星,2007,8.9,187671
末路狂花,1991,8.9,209092
我爱你,2011,9.1,150454
完美陌生人,2016,8.5,486660
千年女优,2001,8.8,223760
驴得水,2016,8.3,844129
聚焦,2015,8.8,252383
浪潮,2008,8.7,251260
